productkey,product_id,product_name,base_price,quantity_available,category_name,distributor_name,distributor_email,region
52,P1000076,"Padded Folding Chairs, Black, 4/Carton",396.8,90,Furniture,"Bulk on Demand Inc",orders@bulkondemand.com,West
53,P1000077,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",419.68,150,Furniture,"Order Pros",csmith@orderpros.com,West
54,P1000078,"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",452.45,60,Furniture,"Happy Distributors",info@happydist.com,East
55,P1000079,"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",466.77,120,Furniture,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
56,P1000080,"Global Ergonomic Managers Chair",488.65,90,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
57,P1000081,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,120,Furniture,"Roys Distributing",info@roysdistributing.com,South
58,P1000082,"Global Deluxe High-Back Manager's Chair",600.56,90,Furniture,"ABC Warehouse",abc@warehouse.com,West
59,P1000083,"Bevis 44 x 96 Conference Tables",617.7,120,Furniture,"District Wholesale",fred@districtwholesale.com,West
60,P1000084,"Bretford Rectangular Conference Table Tops",620.61,120,Furniture,"Middle Man Distributors",orders@middleman.com,Central
61,P1000085,"Bevis 36 x 72 Conference Tables",622.45,180,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
62,P1000089,"Bretford CR4500 Series Slim Rectangular Table",957.58,120,Furniture,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
63,P1000090,"Bevis Round Conference Table Top, X-Base",1004.02,120,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
64,P1000092,"Bevis Round Bullnose 29" High Table Top",800,90,Furniture,"ABC Warehouse",abc@warehouse.com,West
65,P1000094,"O'Sullivan 4-Shelf Bookcase in Odessa Pine",1336.83,150,Furniture,"Middle Man Distributors",orders@middleman.com,Central
66,P1000095,"Office Impressions End Table, 20-1/2"H x 24"W x 20"D",1488.42,90,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
67,P1000096,"Chromcraft Rectangular Conference Tables",1706.18,120,Furniture,"Bulk on Demand Inc",orders@bulkondemand.com,West
68,P1000097,"SAFCO Arco Folding Chair",1740.06,120,Furniture,"Order Pros",csmith@orderpros.com,West
69,P1000098,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1600.43,150,Furniture,"Happy Distributors",info@happydist.com,East
70,P1000100,"Staple-based wall hangings",25.47,60,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
71,P1000012,"Newell 318",19.46,120,"Office Supplies","ABC Warehouse",abc@warehouse.com,West
72,P1000027,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,180,"Office Supplies","Order Pros",csmith@orderpros.com,West
73,P1000101,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,90,"Office Supplies","Roys Distributing",info@roysdistributing.com,South
74,P1000102,"Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,60,"Office Supplies","ABC Warehouse",abc@warehouse.com,West
75,P1000103,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,90,"Office Supplies","District Wholesale",fred@districtwholesale.com,West
76,P1000104,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,90,"Office Supplies","Middle Man Distributors",orders@middleman.com,Central
77,P1000105,"Avery 485",75.18,120,"Office Supplies","Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
78,P1000106,"Advantus Push Pins",15.26,90,"Office Supplies","Bulk on Demand Inc",orders@bulkondemand.com,West
79,P1000107,"Home/Office Personal File Carts",208.56,120,"Office Supplies","Order Pros",csmith@orderpros.com,West
80,P1000108,"Array Parchment Paper, Assorted Colors",14.56,90,"Office Supplies","Happy Distributors",info@happydist.com,East
81,P1000109,"Plastic Binding Combs",48.48,120,"Office Supplies","Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
82,P1000110,"Prang Dustless Chalk Sticks",1.68,120,"Office Supplies","Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
83,P1000111,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"",25.82,90,"Office Supplies","Roys Distributing",info@roysdistributing.com,South
84,P1000112,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.02,150,"Office Supplies","ABC Warehouse",abc@warehouse.com,West
85,P1000113,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,120,"Office Supplies","District Wholesale",fred@districtwholesale.com,West
86,P1000114,"Avery Binding System Hidden Tab Executive Style Index Sets",4.62,180,"Office Supplies","Middle Man Distributors",orders@middleman.com,Central
87,P1000115,"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"",19.05,90,"Office Supplies","Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
88,P1000116,"Safco Industrial Wire Shelving System",72.78,60,"Office Supplies","Bulk on Demand Inc",orders@bulkondemand.com,West
89,P1000117,"Economy Binders",1.25,60,"Office Supplies","Order Pros",csmith@orderpros.com,West
90,P1000118,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,90,"Office Supplies","Happy Distributors",info@happydist.com,East
91,P1000007,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,90,Technology,"Order Pros",csmith@orderpros.com,West
92,P1000013,"Logitechâ€ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,150,Technology,"District Wholesale",fred@districtwholesale.com,West
93,P1000014,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,120,Technology,"Middle Man Distributors",orders@middleman.com,Central
94,P1000016,"Speck Products Candyshell Flip Case",27.99,60,Technology,"Bulk on Demand Inc",orders@bulkondemand.com,West
95,P1000019,"Imationâ€ 8gb Micro Traveldrive Usb 2.0â€ Flash Drive",45,60,Technology,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
96,P1000020,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,90,Technology,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
97,P1000025,"Lenovo 17-Key USB Numeric Keypad",54.38,90,Technology,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
98,P1000026,"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",59.97,60,Technology,"Bulk on Demand Inc",orders@bulkondemand.com,West
99,P1000028,"KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",68.04,150,Technology,"Happy Distributors",info@happydist.com,East
100,P1000031,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.11,90,Technology,"Roys Distributing",info@roysdistributing.com,South
101,P1000037,"Imationâ€ 8GB Mini TravelDrive USB 2.0â€ Flash Drive",90.57,90,Technology,"Order Pros",csmith@orderpros.com,West
102,P1000039,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.98,120,Technology,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
103,P1000045,"JBL Micro Wireless Portable Bluetooth Speaker",143.98,180,Technology,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
104,P1000046,"Panasonic Kx-TS550",147.17,90,Technology,"Bulk on Demand Inc",orders@bulkondemand.com,West
105,P1000047,"Anker Astro 15000mAh USB Portable Charger",149.97,60,Technology,"Order Pros",csmith@orderpros.com,West
106,P1000049,"netTALK DUO VoIP Telephone Service",167.97,150,Technology,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
107,P1000052,"Jabra BIZ 2300 Duo QD Duo Cordedâ€ Headset",203.18,120,Technology,"ABC Warehouse",abc@warehouse.com,West
108,P1000055,"Cisco SPA 501G IP Phone",213.48,90,Technology,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
109,P1000062,"Logitech K350 2.4Ghz Wireless Keyboard",238.9,120,Technology,"ABC Warehouse",abc@warehouse.com,West
110,P1000069,"Logitechâ€ Gaming G510s - Keyboard",339.96,120,Technology,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
111,P1000071,"Plantronics HL10 Handset Lifter",371.17,120,Technology,"Roys Distributing",info@roysdistributing.com,South
112,P1000073,"Plantronics Cordlessâ€ Phone Headsetâ€ with In-line Volume - M214C",384.45,90,Technology,"District Wholesale",fred@districtwholesale.com,West
113,P1000086,"Mitel 5320 IP Phone VoIP phone",907.15,120,Technology,"Bulk on Demand Inc",orders@bulkondemand.com,West
114,P1000087,"Konftel 250 Conferenceâ€ phoneâ€ - Charcoal black",911.42,150,Technology,"Order Pros",csmith@orderpros.com,West
115,P1000088,"Avaya 5420 Digital phone",944.93,60,Technology,"Happy Distributors",info@happydist.com,East
116,P1000091,"AT&T CL83451 4-Handset Telephone",1029.95,120,Technology,"Roys Distributing",info@roysdistributing.com,South
117,P1000093,"GE 30524EE4",1097.54,60,Technology,"District Wholesale",fred@districtwholesale.com,West
118,P1000099,"Lexmark MX611dhe Monochrome Laser Printer",1780.95,120,Technology,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
